sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
female,25,5,0,60,360,0,0,0,345,0,0,11,0,0,185,0,449
female,0,0,0,0,0,0,30,180,345,0,0,780,0,0,105,0,0
female,0,0,0,416,0,0,0,0,955,0,0,0,0,0,9,0,0
male,0,0,0,240,0,0,330,0,510,0,0,360,0,0,0,0,0
male,0,0,0,120,0,0,15,0,780,0,120,75,0,0,60,0,270
male,0,0,15,30,0,0,360,0,580,0,60,284,0,0,81,0,30
female,0,0,60,75,0,0,245,0,570,0,0,355,95,0,40,0,0
female,0,0,0,74,0,0,230,0,375,30,0,160,85,20,26,0,415
female,60,0,0,35,0,0,50,0,605,0,120,405,0,0,165,0,0
male,0,0,80,30,0,0,0,0,630,0,0,60,0,0,160,0,480
female,0,0,150,165,0,0,487,0,530,0,0,0,0,0,108,0,0
male,255,0,0,225,0,0,225,0,515,0,0,60,120,0,40,0,0
female,0,0,0,100,0,0,80,0,470,0,0,300,0,0,20,0,470
female,0,0,175,30,0,0,28,0,519,0,0,285,0,0,72,0,331
female,415,0,65,90,0,0,20,0,540,0,0,190,0,0,120,0,0
male,245,1,0,0,0,0,20,0,300,0,0,419,0,0,215,0,240
female,0,0,60,35,0,0,385,0,880,0,0,60,0,0,20,0,0
female,0,0,0,30,0,0,0,0,480,0,0,345,0,0,90,0,495
female,465,0,60,0,0,0,15,0,840,0,0,0,0,0,60,0,0
male,0,30,0,90,0,0,330,0,585,0,0,200,120,0,85,0,0
male,0,0,10,30,0,0,210,0,605,0,60,245,160,0,120,0,0
female,0,0,0,60,0,0,375,0,630,0,0,285,30,60,0,0,0
female,0,0,45,225,0,0,170,0,645,0,0,250,45,0,60,0,0
female,0,0,275,65,0,0,105,0,650,0,20,255,0,0,70,0,0
female,0,0,0,60,0,0,340,0,435,30,15,410,60,50,0,0,0
female,0,0,41,35,0,0,364,0,661,0,0,294,0,0,45,0,0
male,0,0,60,75,0,0,131,0,660,0,0,380,90,0,14,0,0
male,80,0,50,30,0,0,196,0,555,0,0,360,85,0,35,0,0
male,105,0,10,145,0,0,40,0,395,0,0,85,0,0,175,125,360
female,0,0,410,95,0,0,0,0,705,0,10,60,0,20,140,0,0
male,0,15,20,30,220,0,0,0,600,0,0,410,0,0,145,0,0
male,0,0,31,90,0,0,346,0,550,0,0,109,240,0,74,0,0
male,45,0,65,150,0,0,210,0,621,0,0,120,0,0,109,0,120
male,0,0,0,85,0,0,3,0,438,105,0,245,0,0,90,0,449
female,0,0,0,120,0,0,90,0,730,100,0,380,0,0,20,0,0
female,0,0,0,30,465,0,25,0,535,0,0,335,0,0,50,0,0
female,0,0,107,30,0,0,160,0,565,0,77,458,0,0,28,0,15
male,10,0,0,30,0,0,0,0,325,0,0,75,25,70,275,0,630
male,0,0,0,476,0,0,0,0,360,0,0,595,0,0,9,0,0
female,0,0,0,30,385,0,60,0,615,0,0,284,0,25,41,0,0
female,105,0,135,38,0,0,89,0,574,0,0,352,35,80,32,0,0
female,5,0,0,30,0,0,35,0,555,10,0,190,0,0,75,0,540
female,0,0,0,90,0,0,485,0,480,0,0,335,0,0,0,0,0
male,0,0,0,0,0,0,0,0,410,0,0,30,80,0,20,0,900
female,175,0,2,40,0,0,120,0,690,0,0,311,0,0,102,0,0
male,155,0,0,60,0,0,120,0,550,0,85,380,0,0,30,0,0
male,0,0,60,35,0,0,30,0,630,0,0,615,0,0,70,0,0
female,230,0,120,60,0,0,145,0,530,0,0,180,150,0,25,0,0
female,0,0,0,0,0,0,345,0,390,0,0,0,0,0,30,0,675
female,105,0,20,35,35,0,275,0,470,0,0,394,50,20,36,0,0
female,0,0,55,45,0,0,100,0,555,0,0,225,0,0,85,0,375
female,0,0,10,80,0,0,50,0,495,0,0,180,0,15,95,0,495
female,105,0,62,18,0,0,50,0,495,0,0,150,0,0,105,0,455
male,0,0,0,135,0,0,0,0,480,0,110,685,0,0,30,0,0
male,0,255,80,45,0,0,175,0,630,0,0,110,0,0,130,0,0
male,90,0,50,165,0,0,305,0,485,45,0,197,0,0,103,0,0
female,0,0,0,60,0,0,210,0,480,0,0,690,0,0,0,0,0
female,0,0,0,180,140,0,0,0,695,0,0,120,235,0,70,0,0
female,0,0,0,45,0,0,50,0,360,0,0,415,0,0,50,0,520
male,120,90,0,105,0,0,270,0,510,0,0,230,0,0,115,0,0
male,0,0,360,30,0,0,0,0,870,0,0,120,0,0,60,0,0
male,0,0,0,30,0,0,0,0,555,0,0,180,45,0,30,0,600
female,0,0,90,160,0,0,205,0,390,0,0,10,35,0,95,3,452
female,240,0,25,100,0,0,35,0,655,0,0,310,0,0,75,0,0
male,0,0,35,105,0,0,90,0,600,5,0,409,0,60,136,0,0
female,150,0,0,0,300,0,0,0,720,0,0,210,0,0,60,0,0
female,0,0,0,80,0,0,47,0,535,0,30,233,0,0,30,0,485
male,0,0,0,55,0,0,150,0,565,0,73,516,30,0,51,0,0
male,0,0,0,150,0,0,60,0,580,0,0,350,0,0,45,255,0
female,0,0,5,45,0,0,75,0,440,0,0,360,0,0,50,0,465
female,0,0,15,45,0,0,120,0,600,0,0,410,0,60,20,0,0
female,205,0,20,25,0,0,67,0,465,0,0,633,0,0,25,0,0
female,0,0,0,20,0,0,60,0,780,0,135,415,0,0,30,0,0
female,200,0,0,0,0,0,0,0,775,0,0,75,180,0,210,0,0
female,210,0,140,120,0,0,225,0,570,0,0,125,0,0,50,0,0
male,0,100,0,120,0,0,35,0,460,0,0,45,0,0,140,0,540
male,0,150,0,55,0,0,0,0,474,0,0,196,0,0,85,0,480
male,0,0,0,60,0,0,60,0,690,0,0,630,0,0,0,0,0
female,0,0,0,0,0,0,0,0,405,0,0,45,0,0,120,0,870
male,90,0,68,15,0,0,2,0,625,5,0,435,60,0,125,0,15
male,0,0,0,43,0,0,0,0,530,0,0,225,0,0,30,0,612
female,0,0,0,0,0,0,2,0,660,0,0,299,0,0,2,0,477
male,45,0,1,135,0,0,50,0,374,0,0,160,0,40,95,0,540
female,10,0,75,25,0,0,90,0,780,0,0,120,140,125,75,0,0
female,0,0,10,45,0,0,90,0,435,0,0,255,0,0,120,0,485
female,87,60,0,0,390,0,90,0,530,0,0,60,0,80,143,0,0
male,16,0,0,10,0,0,121,0,565,0,0,93,0,0,155,0,480
female,0,0,0,0,0,0,75,0,705,0,0,420,0,0,240,0,0
male,0,0,25,45,0,0,120,0,720,0,0,510,0,0,20,0,0
female,0,2,120,90,0,0,383,0,420,0,0,320,0,0,105,0,0
female,0,0,50,73,0,0,30,0,510,110,0,401,0,0,51,0,215
female,0,40,0,90,0,0,275,0,573,0,135,277,0,10,40,0,0
female,0,0,0,120,0,0,120,0,1020,0,0,120,0,0,60,0,0
female,0,0,0,0,0,0,0,0,960,270,0,60,30,0,120,0,0
female,0,0,0,30,0,0,0,0,740,0,165,475,0,0,30,0,0
female,0,0,95,20,0,0,30,0,500,0,0,415,0,0,380,0,0
female,195,8,54,120,0,0,120,0,538,10,0,170,60,0,165,0,0
female,0,0,0,45,0,0,165,0,555,0,0,555,0,60,60,0,0
male,0,0,45,75,0,0,190,3,340,0,0,478,195,0,114,0,0
female,10,0,60,30,0,0,165,0,570,0,0,575,0,0,30,0,0
female,75,0,60,210,0,0,452,0,570,0,0,60,0,0,13,0,0
female,35,0,70,240,0,0,33,0,509,0,65,20,0,8,150,0,310
male,10,0,30,70,0,0,20,0,585,0,270,355,20,0,80,0,0
female,20,0,0,110,0,0,35,0,610,0,0,605,0,0,60,0,0
female,324,0,0,50,0,0,75,0,435,0,0,0,0,0,75,0,481
female,1,11,0,30,0,0,30,0,713,0,0,120,0,0,75,0,460
male,0,0,0,120,0,0,2,0,518,0,0,0,240,0,50,0,510
female,0,0,5,75,0,0,12,0,475,102,0,162,0,30,54,0,525
male,0,10,50,135,0,0,320,0,420,60,0,305,0,0,140,0,0
male,40,4,10,40,0,0,1,0,415,0,0,175,0,0,38,0,717
male,0,0,90,30,0,0,0,0,600,0,0,235,0,0,35,0,450
male,15,0,0,40,0,0,360,0,360,0,0,575,0,0,0,0,90
male,0,0,10,52,0,0,73,0,595,0,0,335,305,0,55,0,0
male,0,0,90,90,0,0,15,0,540,0,0,495,0,0,210,0,0
female,10,3,40,35,324,0,0,0,449,0,0,324,0,135,115,0,5
male,30,45,10,80,0,0,0,0,610,0,210,354,0,0,101,0,0
female,85,0,30,20,0,0,460,0,719,0,0,125,0,1,0,0,0
male,0,0,175,0,0,0,1,0,528,0,0,202,0,0,54,0,480
male,0,0,0,127,0,0,122,0,435,0,0,210,0,0,6,0,540
female,0,0,0,30,0,0,0,0,710,0,0,185,0,0,50,0,465
female,248,30,0,90,0,0,65,0,450,0,0,257,0,0,120,60,0
male,0,0,45,90,0,0,160,0,445,75,0,15,35,40,55,0,480
male,0,0,0,60,0,0,120,0,570,0,0,550,0,0,20,0,0
female,0,0,0,150,0,0,60,0,630,0,235,355,0,0,10,0,0
male,0,0,170,30,0,0,260,0,495,0,0,210,0,0,20,0,255
female,0,0,65,150,0,0,175,0,750,0,0,260,0,0,40,0,0
female,400,0,0,95,0,0,136,0,420,0,5,313,0,10,31,30,0
male,5,70,115,70,0,0,0,0,390,60,0,100,0,0,160,0,470
male,0,0,0,35,415,0,5,0,570,0,0,205,15,0,20,0,175
male,0,0,0,105,0,0,0,0,525,0,0,200,0,0,20,0,590
female,210,0,0,75,0,0,415,0,570,0,0,125,0,45,0,0,0
female,0,31,0,75,0,0,360,0,630,70,0,241,0,0,33,0,0
male,25,0,35,65,0,0,15,0,420,0,90,70,0,0,220,60,440
female,45,0,180,60,0,0,0,0,720,0,90,260,0,0,85,0,0
male,0,0,0,85,0,0,60,0,420,0,0,150,60,0,75,0,590
female,0,0,0,45,0,0,165,0,615,0,0,160,0,0,20,0,435
female,0,0,5,27,0,0,109,0,465,0,0,193,0,0,31,0,520
female,0,0,0,15,0,0,230,0,360,0,0,835,0,0,0,0,0
male,0,0,0,30,0,0,0,0,615,0,0,120,0,0,50,0,625
male,0,535,0,95,0,0,0,0,630,0,0,120,0,0,60,0,0
female,20,406,185,60,0,0,30,0,536,15,0,10,0,0,178,0,0
female,187,20,25,57,0,0,123,0,630,0,0,245,15,0,110,0,28
male,140,0,0,80,0,0,135,0,540,0,60,225,0,0,85,0,175
male,0,180,0,275,0,0,75,0,550,21,0,188,0,15,131,0,0
female,15,0,0,105,0,0,540,0,780,0,0,0,0,0,0,0,0
female,320,0,30,90,0,0,272,0,617,0,0,96,0,0,15,0,0
female,129,0,2,40,0,0,0,0,305,3,0,208,0,5,175,0,573
female,0,0,20,85,0,0,91,5,594,2,0,315,105,5,114,0,0
male,0,0,0,60,0,0,0,0,600,0,0,340,0,30,30,0,380
female,0,0,0,60,0,0,110,0,540,0,0,340,0,0,10,0,380
female,313,0,60,45,0,0,130,0,530,0,0,45,60,0,17,0,240
female,0,0,0,85,0,130,45,0,500,30,0,85,75,0,65,0,425
female,0,0,90,105,0,0,0,0,570,0,0,199,0,0,140,336,0
female,0,0,0,60,0,0,120,0,570,0,165,405,0,0,120,0,0
female,0,0,0,150,0,0,200,0,720,0,0,340,0,0,30,0,0
male,0,0,55,90,0,0,45,0,495,90,60,365,60,0,180,0,0
male,32,0,10,0,0,0,0,0,435,0,0,0,0,0,271,0,692
male,0,0,0,108,0,0,0,0,525,0,0,165,0,0,32,0,610
male,0,0,0,150,0,0,0,0,340,0,0,475,0,0,40,0,435
male,0,0,5,60,0,0,20,0,690,0,0,208,0,0,80,0,377
female,0,0,0,55,510,0,0,0,525,0,0,90,90,0,170,0,0
male,0,0,15,40,0,0,40,0,380,0,0,140,0,0,150,100,560
male,0,0,0,23,0,0,265,0,510,0,0,30,0,35,14,5,558
female,0,0,60,65,0,0,90,0,570,0,0,595,0,0,60,0,0
female,0,0,30,175,0,0,0,0,860,30,0,30,0,10,125,0,180
female,206,3,43,65,0,0,318,0,265,119,0,285,0,30,106,0,0
female,0,0,0,45,0,0,160,0,1055,0,0,180,0,0,0,0,0
female,0,0,5,0,0,0,180,0,815,0,0,270,0,0,170,0,0
female,0,0,0,145,0,0,60,0,495,190,0,330,0,120,10,0,90
female,0,0,0,10,0,0,140,0,650,0,0,600,0,0,40,0,0
male,0,0,0,115,0,0,0,0,340,0,0,520,0,0,225,0,240
male,44,0,75,60,0,0,265,0,665,0,0,162,0,0,129,0,40
female,0,137,0,65,0,0,512,0,530,0,0,110,0,0,86,0,0
female,0,0,0,90,0,0,275,0,710,0,0,345,0,20,0,0,0
female,0,0,30,135,0,0,375,0,645,0,0,235,0,0,20,0,0
female,0,0,0,61,0,0,241,0,569,0,0,300,0,0,20,0,0
female,5,45,0,135,0,0,135,0,655,0,0,0,0,0,50,0,415
male,1,6,20,62,0,0,55,0,527,0,50,65,0,0,84,70,500
female,0,0,0,100,0,0,110,0,990,0,0,180,0,45,0,0,0
male,0,0,0,15,0,0,10,0,355,0,0,0,0,0,40,0,1020
male,0,0,0,55,0,0,0,0,510,0,0,275,0,0,40,0,530
female,210,0,30,60,0,0,155,0,750,0,0,150,0,0,85,0,0
female,0,0,220,30,0,0,480,0,475,0,0,175,0,0,60,0,0
female,0,0,0,180,0,0,0,0,585,0,0,455,105,30,85,0,0
male,0,0,120,10,0,0,0,10,780,0,0,371,0,0,84,0,0
male,0,0,0,120,0,0,780,0,450,0,0,90,0,0,0,0,0
female,0,0,0,55,0,0,0,0,480,0,0,875,30,0,0,0,0
female,0,0,0,30,0,0,0,0,570,0,0,80,190,0,100,0,470
female,155,0,0,0,0,0,195,0,735,0,0,205,150,0,0,0,0
female,282,0,0,60,0,0,310,0,583,0,0,205,0,0,0,0,0
male,0,60,60,0,0,0,370,0,330,0,0,420,0,0,200,0,0
female,0,0,30,16,0,0,123,0,742,0,0,65,0,0,74,0,390
male,0,165,55,90,0,0,20,0,680,0,0,285,0,0,145,0,0
male,0,15,60,135,0,0,30,0,752,0,0,391,0,0,57,0,0
male,0,0,0,35,0,0,0,0,630,0,0,660,0,60,55,0,0
female,32,0,30,60,0,0,449,0,475,10,0,230,0,7,112,0,0
male,0,0,0,115,0,0,60,0,610,0,0,220,0,45,100,0,290
male,0,0,15,157,0,0,49,0,548,0,0,40,15,0,141,160,315
female,50,0,0,90,0,0,150,0,570,0,0,535,0,45,0,0,0
female,160,0,135,60,0,0,225,0,450,0,0,140,0,0,165,0,105
female,0,0,0,10,0,0,410,0,555,0,0,465,0,0,0,0,0
male,0,0,0,30,0,0,150,0,685,0,0,573,0,0,2,0,0
female,0,0,0,65,0,0,21,0,540,0,85,606,0,0,20,0,0
female,215,5,135,0,0,0,175,0,495,0,0,335,0,0,80,0,0
female,0,0,5,135,0,0,167,0,510,0,75,350,90,60,48,0,0
female,0,0,0,70,0,0,0,0,686,0,0,0,0,0,18,0,666
female,232,0,0,40,0,0,0,0,568,0,0,90,0,0,17,0,493
female,0,0,0,0,0,0,0,0,360,0,0,800,0,0,240,0,0
female,0,0,10,90,0,0,220,0,580,115,160,90,0,90,85,0,0
female,0,15,0,85,0,0,410,0,495,0,0,260,75,0,100,0,0
female,0,0,10,135,0,0,45,0,570,0,0,160,0,0,30,0,490
female,30,0,180,90,45,0,75,0,609,0,0,135,0,0,276,0,0
female,0,0,0,58,0,0,422,0,670,0,160,90,0,0,40,0,0
female,60,0,0,45,605,0,0,0,730,0,0,0,0,0,0,0,0
male,0,0,45,0,0,0,235,0,420,0,0,150,0,0,35,0,555
male,0,0,0,30,0,0,0,0,500,0,0,280,0,0,20,0,315
male,0,120,15,30,0,0,166,0,540,0,0,524,0,0,45,0,0
female,292,0,70,60,0,0,215,0,515,0,0,203,0,0,55,30,0
female,60,0,0,0,0,0,180,0,420,0,0,780,0,0,0,0,0
female,199,0,30,60,0,0,1,0,559,0,0,300,102,0,26,0,0
female,0,241,0,0,0,0,0,0,600,0,0,459,120,0,20,0,0
female,10,0,10,195,0,0,10,0,480,0,0,60,0,0,145,0,530
male,1,0,0,90,0,0,39,0,437,0,0,62,0,0,196,0,600
male,0,0,0,60,0,0,60,0,545,0,0,120,0,0,10,0,645
female,0,0,85,120,0,0,0,0,420,180,0,240,0,0,395,0,0
female,45,0,0,80,0,0,400,0,690,0,155,30,0,0,40,0,0
male,2,0,0,53,0,0,15,0,615,0,0,130,0,0,40,0,585
female,0,0,90,105,0,0,160,0,545,0,0,410,0,0,125,0,5
female,0,0,10,40,0,0,180,0,535,0,0,185,0,0,55,0,435
female,0,0,90,100,0,0,55,0,450,20,0,560,0,65,100,0,0
male,0,0,0,75,0,0,0,0,510,0,0,720,120,0,15,0,0
female,0,0,5,10,0,0,20,0,730,0,0,590,0,0,85,0,0
male,0,0,0,0,0,0,0,0,750,0,0,670,0,0,20,0,0
male,0,41,0,0,0,0,0,0,764,0,0,120,0,0,65,0,450
female,10,210,90,90,0,0,195,0,585,0,60,120,0,0,60,0,0
