sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
female,443,0,143,70,0,0,100,0,505,0,0,60,0,0,119,0,0
male,375,0,0,180,0,0,0,0,570,0,0,315,0,0,0,0,0
female,0,0,0,40,0,0,90,0,810,75,0,120,0,190,115,0,0
female,0,0,0,0,0,0,255,0,535,0,0,485,0,0,30,0,0
female,0,0,0,110,0,0,20,0,840,0,0,208,40,95,12,90,0
female,0,0,0,60,0,0,220,0,570,0,0,590,0,0,0,0,0
male,0,0,0,37,0,0,83,0,440,0,0,198,0,0,131,0,547
male,0,0,0,45,428,0,25,0,462,0,0,349,0,0,131,0,0
female,0,0,0,30,0,0,0,0,540,0,0,785,0,0,25,0,0
female,0,0,180,45,0,0,390,0,540,0,0,88,90,0,107,0,0
female,0,0,80,90,0,0,0,0,420,0,0,706,0,0,144,0,0
female,190,0,0,105,0,0,250,0,630,0,0,210,0,0,55,0,0
male,5,0,0,90,0,0,150,0,480,0,0,125,0,0,40,0,550
female,0,5,60,165,170,0,0,0,585,0,0,285,0,0,170,0,0
male,0,0,0,55,0,0,0,0,490,0,0,400,0,0,35,0,460
female,0,4,5,70,0,0,165,0,905,0,30,229,0,0,32,0,0
male,0,0,0,85,0,0,0,0,495,0,0,120,0,0,120,0,620
male,0,8,90,95,0,0,255,0,567,0,0,136,105,0,184,0,0
male,0,0,0,60,0,0,0,0,420,0,0,60,0,0,60,0,840
female,0,0,0,75,0,0,394,0,690,0,0,231,0,0,50,0,0
female,0,0,0,90,0,0,840,0,510,0,0,0,0,0,0,0,0
male,0,0,0,120,0,0,330,0,570,0,0,120,180,0,120,0,0
male,0,0,0,5,60,0,5,0,780,0,0,495,90,0,5,0,0
male,275,0,0,45,0,0,475,0,540,0,0,75,30,0,0,0,0
female,185,0,0,35,0,0,40,0,735,0,0,350,0,0,95,0,0
male,30,0,10,50,0,0,40,0,620,0,0,90,0,0,50,0,460
male,0,0,0,10,0,0,0,0,575,0,309,326,0,0,190,30,0
female,0,0,0,40,0,0,200,0,585,0,0,615,0,0,0,0,0
female,0,0,0,40,0,0,95,0,515,0,0,40,0,3,40,0,560
male,0,0,0,225,0,0,196,0,705,0,0,180,0,0,105,0,0
male,0,0,0,120,0,0,320,0,570,0,0,310,0,0,120,0,0
female,0,7,0,110,0,0,285,0,470,0,68,264,120,0,91,25,0
male,12,0,0,60,0,0,0,0,538,0,0,60,144,0,101,0,525
female,0,0,0,120,0,0,30,0,840,0,0,390,0,60,0,0,0
male,0,0,120,30,0,0,225,0,545,0,0,510,0,0,10,0,0
female,0,0,80,150,0,0,150,0,415,0,0,609,0,0,36,0,0
female,20,0,0,70,0,0,35,0,540,0,0,295,0,0,30,0,450
female,50,0,5,90,0,0,0,0,420,0,0,300,0,0,105,0,470
female,30,0,0,15,0,0,120,0,870,0,0,315,0,0,90,0,0
female,270,0,0,50,0,0,150,0,540,0,0,400,0,0,30,0,0
female,20,0,0,105,0,0,60,0,510,0,0,110,0,0,80,0,555
male,0,55,10,30,0,0,17,0,395,0,0,236,0,0,192,0,505
female,100,0,180,60,0,0,20,0,625,0,150,90,0,0,160,55,0
female,0,0,185,105,0,0,50,0,615,30,0,305,0,0,150,0,0
female,0,0,30,80,0,0,130,0,670,0,0,255,150,0,125,0,0
female,60,0,68,75,0,0,0,0,540,0,0,207,205,0,285,0,0
female,0,0,0,40,0,0,295,0,735,0,0,245,0,0,35,0,0
female,0,0,0,80,0,0,30,0,820,0,0,500,0,0,10,0,0
female,30,0,120,30,0,0,300,0,600,0,0,300,0,0,60,0,0
female,0,0,60,120,0,0,180,0,550,0,0,335,75,60,60,0,0
male,0,0,0,60,0,0,26,0,390,0,0,74,90,0,200,0,600
male,25,0,10,0,0,0,330,0,240,0,0,0,0,0,30,0,805
female,230,0,0,70,0,0,0,0,490,0,0,45,0,0,0,0,605
female,0,0,25,200,0,0,90,0,770,0,0,45,120,105,80,0,0
male,0,0,20,60,120,0,27,0,954,0,0,213,0,0,45,1,0
male,0,0,120,130,0,0,0,0,770,60,0,240,0,0,60,0,0
male,0,0,0,10,0,0,266,0,760,0,0,265,90,0,20,0,0
male,0,0,0,90,0,0,155,0,670,0,0,405,60,60,0,0,0
female,0,15,0,15,0,0,65,0,565,0,0,300,0,0,115,365,0
female,37,0,0,90,0,0,178,0,570,0,0,165,0,0,85,0,315
female,0,0,0,60,0,0,450,0,279,0,60,591,0,0,0,0,0
female,0,107,10,69,45,0,116,0,719,0,271,0,0,0,93,10,0
male,0,0,60,60,0,0,40,0,480,0,0,230,0,0,570,0,0
male,0,0,0,90,0,0,0,0,545,0,0,140,50,0,55,90,470
male,65,30,0,100,0,0,50,0,510,0,60,390,60,0,115,60,0
male,40,0,90,105,0,0,15,0,600,0,0,560,0,0,30,0,0
male,0,0,10,75,0,0,6,0,630,0,80,554,30,0,55,0,0
female,90,0,60,90,0,0,45,0,615,0,45,60,307,27,41,60,0
male,0,0,30,62,60,0,15,0,505,0,60,345,165,0,102,0,96
female,0,0,90,90,0,0,440,0,495,0,0,260,0,0,35,0,0
male,0,0,0,105,0,0,150,0,745,0,0,300,0,0,50,90,0
male,0,0,60,215,0,0,0,0,520,0,0,100,0,0,75,0,470
male,0,0,20,30,0,0,60,0,853,0,60,250,30,0,87,50,0
male,0,0,10,100,0,0,30,0,530,0,0,262,0,0,26,0,482
male,0,0,5,70,0,0,0,0,485,0,0,55,80,0,165,0,580
female,0,0,0,130,0,0,75,0,720,0,0,480,0,0,35,0,0
male,0,0,32,90,0,0,165,0,457,0,0,351,0,0,345,0,0
female,0,0,0,30,480,0,0,0,870,0,0,60,0,0,0,0,0
female,0,0,0,30,0,0,0,0,841,0,0,429,0,0,0,30,110
male,870,0,0,60,0,0,60,0,450,0,0,0,0,0,0,0,0
female,0,0,46,65,0,0,17,0,482,0,0,110,240,0,480,0,0
female,15,0,0,90,0,0,140,0,690,0,0,443,0,60,2,0,0
male,0,0,0,15,0,0,150,0,520,0,0,405,0,0,40,0,0
female,0,0,180,40,0,0,85,0,445,0,0,50,0,0,130,0,510
female,0,0,0,45,0,0,90,0,495,0,0,185,0,0,25,0,600
female,60,0,0,5,0,0,465,0,895,0,0,0,0,15,0,0,0
male,85,0,20,75,0,0,210,0,540,0,0,80,0,0,100,0,330
male,0,10,20,280,0,0,270,0,680,0,0,95,0,0,85,0,0
male,0,0,0,10,0,0,0,0,1200,0,0,230,0,0,0,0,0
male,11,2,0,44,0,0,60,0,475,0,0,183,0,0,70,0,595
female,30,0,105,30,0,0,3,0,340,0,0,237,0,30,70,0,595
female,0,0,0,30,0,0,115,0,390,0,0,905,0,0,0,0,0
female,0,0,45,115,0,0,235,0,600,0,0,430,0,5,10,0,0
female,0,0,0,20,0,0,0,0,645,0,195,275,210,0,95,0,0
male,0,0,145,15,0,0,120,0,502,0,0,60,350,0,248,0,0
male,119,0,0,135,0,0,15,0,615,1,0,325,150,0,80,0,0
male,0,0,0,10,0,0,65,0,345,0,15,885,0,90,0,0,0
female,0,0,0,70,0,0,115,0,815,0,0,110,0,330,0,0,0
female,10,0,0,180,0,0,360,0,510,0,0,360,0,0,20,0,0
female,0,15,0,40,0,0,130,0,610,0,30,25,0,30,80,5,475
male,0,0,0,135,0,0,515,0,480,0,0,245,45,0,20,0,0
male,0,0,0,75,0,0,0,0,450,0,0,885,0,0,30,0,0
female,30,285,0,65,0,0,245,0,570,0,0,245,0,0,0,0,0
female,0,0,0,10,0,0,170,0,420,0,0,840,0,0,0,0,0
male,0,0,5,40,0,0,20,0,550,0,0,735,45,0,45,0,0
male,0,0,0,45,0,0,0,0,480,0,0,120,0,0,240,0,555
female,0,0,0,5,0,0,0,0,520,0,0,835,0,10,40,0,0
male,43,0,0,50,0,0,0,0,525,0,0,132,50,0,80,0,560
male,0,0,30,45,0,0,50,0,485,0,0,185,0,0,120,0,525
female,420,0,10,90,0,0,30,0,570,0,0,260,0,0,60,0,0
male,0,0,0,20,0,0,255,0,600,0,0,100,0,0,65,0,400
female,0,30,0,45,0,0,120,0,360,20,0,440,0,0,425,0,0
female,0,0,0,90,0,0,30,0,505,0,0,0,0,0,95,0,720
female,0,0,60,25,0,0,75,0,525,0,0,365,0,0,60,0,330
female,0,0,31,45,64,0,55,0,655,0,85,438,0,0,67,0,0
male,0,0,0,130,0,0,0,0,600,0,0,640,0,10,60,0,0
male,0,45,0,105,0,0,10,0,570,0,0,545,80,0,85,0,0
male,5,0,0,75,0,215,0,0,585,0,0,510,0,0,50,0,0
female,0,0,0,110,0,0,250,0,540,0,0,165,15,0,360,0,0
female,0,0,0,40,0,0,0,0,510,0,0,50,0,0,20,0,820
male,5,0,3,0,0,0,60,0,700,0,0,535,0,0,137,0,0
male,270,25,0,40,0,0,0,0,580,0,0,310,0,0,215,0,0
female,30,0,0,20,0,0,50,0,655,0,0,100,0,0,30,0,555
female,70,2,10,273,0,0,225,0,410,0,0,30,0,0,250,170,0
female,0,0,60,15,0,0,30,0,720,0,0,390,135,0,90,0,0
female,0,0,0,95,0,0,35,0,540,0,0,115,60,0,70,0,525
female,0,90,5,50,0,0,92,0,480,0,0,203,210,0,310,0,0
female,0,0,10,45,0,0,150,0,910,0,0,319,0,0,6,0,0
female,60,0,210,180,0,0,60,0,590,0,0,290,0,0,50,0,0
female,0,0,0,90,0,0,62,0,839,0,0,264,0,5,30,0,0
female,0,0,0,120,0,0,305,0,640,0,90,0,120,60,45,0,60
female,0,0,110,75,0,0,0,0,540,0,0,60,0,0,130,0,525
female,0,0,55,240,0,0,200,0,535,0,0,150,0,0,230,0,0
female,60,15,125,50,0,0,195,0,611,0,0,240,0,0,144,0,0
female,0,0,78,75,0,0,260,0,570,30,0,352,0,0,75,0,0
female,20,0,80,4,0,0,20,0,550,0,0,269,0,0,67,0,430
female,50,0,0,90,0,0,0,0,585,0,0,130,0,0,123,0,462
female,0,0,0,60,0,0,60,0,720,0,0,600,0,0,0,0,0
female,80,0,0,60,0,0,160,0,605,0,0,33,38,0,74,0,390
female,0,6,0,45,0,0,35,0,1079,0,0,175,30,0,70,0,0
male,15,135,60,120,0,0,120,0,570,0,0,240,0,0,180,0,0
female,0,0,0,60,0,0,405,0,510,0,0,420,45,0,0,0,0
female,130,0,0,210,0,0,322,0,598,0,0,180,0,0,0,0,0
female,0,0,0,45,0,0,67,0,340,0,133,138,0,0,132,0,585
female,0,0,0,46,0,0,56,0,723,0,280,265,0,15,55,0,0
female,0,0,80,30,0,0,41,0,585,0,0,140,0,0,134,0,430
female,38,0,150,10,0,0,17,0,762,0,0,443,0,0,20,0,0
male,0,0,0,60,0,0,75,15,545,0,10,65,0,0,160,0,450
female,0,0,0,60,0,0,420,0,630,0,0,320,0,0,0,0,10
male,0,0,0,45,0,0,125,0,470,0,0,150,25,45,60,0,520
male,0,0,0,45,0,0,0,0,460,0,0,240,0,0,10,0,685
female,0,0,25,85,0,0,65,0,695,0,0,65,0,0,60,0,445
female,0,0,0,30,0,0,180,0,710,0,0,450,0,60,0,0,10
female,10,0,0,30,0,0,470,0,770,0,0,160,0,0,0,0,0
female,353,0,52,90,0,0,60,0,535,0,0,195,0,0,45,0,110
male,0,0,0,80,0,0,0,0,555,165,0,70,0,0,145,120,305
female,0,0,0,35,720,0,110,0,510,0,0,0,65,0,0,0,0
male,0,0,60,90,0,0,0,0,570,0,0,706,0,0,14,0,0
male,20,0,15,90,505,0,30,0,330,0,0,30,0,0,182,0,0
female,0,0,120,50,0,0,380,0,490,0,0,360,0,0,40,0,0
male,0,0,130,90,0,0,0,0,540,0,0,100,0,0,100,0,480
female,0,0,60,90,0,0,75,0,570,0,0,515,30,60,40,0,0
male,0,0,90,130,400,0,0,0,395,0,0,298,0,5,122,0,0
male,0,0,0,30,0,0,480,0,600,0,0,330,0,0,0,0,0
male,0,0,0,45,0,0,295,0,450,215,0,105,0,0,0,0,330
female,0,0,15,75,0,0,0,0,500,0,0,90,0,0,50,0,710
female,226,0,0,93,103,0,67,0,847,0,0,75,0,0,29,0,0
female,190,0,10,25,0,0,55,0,465,0,0,60,0,0,100,0,535
male,0,0,0,65,0,0,5,0,652,5,0,380,100,15,98,120,0
male,0,0,5,123,0,0,0,0,450,0,0,100,47,35,55,0,625
male,180,0,0,75,0,0,150,0,510,0,0,358,148,0,19,0,0
male,0,0,5,30,0,0,0,0,600,0,0,795,0,0,10,0,0
female,0,0,60,40,0,0,430,0,684,0,0,40,90,0,96,0,0
female,0,0,0,70,0,0,176,0,476,0,0,184,0,0,30,0,465
male,0,0,0,13,360,0,5,0,550,0,0,422,0,0,90,0,0
female,0,0,70,80,0,0,228,0,545,0,0,55,0,0,82,90,290
male,0,0,3,25,0,0,30,0,690,0,0,627,0,10,55,0,0
female,0,0,0,180,0,0,0,0,390,0,0,130,0,0,90,0,650
male,125,0,75,90,0,0,330,0,590,0,75,60,0,0,80,0,0
female,0,0,60,20,0,0,20,0,1215,20,0,60,0,0,45,0,0
male,0,0,8,5,0,0,0,0,540,0,0,103,0,0,27,0,757
male,0,0,50,75,0,0,140,0,550,0,0,492,20,0,50,63,0
male,0,0,0,20,0,0,2,0,630,0,75,683,0,0,30,0,0
female,167,0,0,30,390,0,300,0,373,0,0,60,0,0,120,0,0
male,4,0,15,65,0,0,173,0,345,0,0,90,40,0,75,0,633
male,0,0,75,20,0,0,760,0,540,0,0,0,0,0,45,0,0
male,0,0,0,20,0,0,330,0,560,0,0,0,0,0,20,0,510
female,175,0,0,45,0,0,40,0,540,0,0,177,0,0,123,0,340
male,0,10,0,165,0,0,0,0,525,0,0,284,0,0,126,0,330
female,0,0,0,20,0,0,0,0,921,0,0,295,0,0,94,110,0
male,60,0,30,90,0,0,45,0,495,0,0,120,0,0,55,0,545
female,0,0,65,60,0,0,250,0,689,0,0,170,0,0,86,0,120
female,76,0,220,120,0,0,125,0,465,0,0,244,0,0,70,0,0
female,30,0,10,105,0,0,75,0,480,0,0,185,0,0,55,0,500
female,191,0,30,60,0,0,155,0,570,45,0,269,0,15,105,0,0
female,105,0,10,75,0,0,290,0,545,180,0,60,0,0,135,0,0
male,76,0,30,30,0,0,115,0,630,100,0,389,0,0,70,0,0
male,0,0,0,30,0,0,1,0,575,0,0,135,0,0,75,0,615
female,0,0,4,30,45,0,0,0,571,0,110,290,0,90,125,170,0
female,0,15,0,120,0,0,240,0,540,0,90,175,0,0,80,0,0
male,0,0,0,50,0,0,61,0,675,0,30,570,0,0,54,0,0
female,136,0,200,60,0,0,270,0,542,0,0,0,0,0,115,0,0
male,0,0,0,45,0,0,0,0,780,0,0,615,0,0,0,0,0
female,0,0,48,40,0,0,260,0,705,0,0,345,0,0,30,0,0
male,0,0,0,90,0,0,48,0,593,0,0,90,20,0,83,0,516
female,66,0,21,40,0,0,51,0,515,0,0,264,0,0,166,0,305
male,0,5,5,15,0,0,125,0,505,0,0,570,0,0,100,0,45
female,20,0,0,50,0,0,180,0,690,0,0,410,0,0,90,0,0
male,0,0,0,60,0,0,45,0,600,0,0,120,0,0,30,0,585
male,0,0,0,45,0,0,150,0,615,0,0,630,0,0,0,0,0
male,0,0,0,110,0,0,370,0,570,0,0,330,0,0,60,0,0
male,25,0,80,190,0,0,270,0,510,0,0,295,0,0,70,0,0
female,140,0,0,90,0,0,210,0,710,0,0,215,0,0,75,0,0
female,0,0,0,55,260,0,0,0,510,0,0,465,0,0,150,0,0
male,0,0,10,140,0,0,120,45,610,20,0,325,0,0,80,90,0
male,400,0,10,45,0,0,0,0,480,0,0,195,240,0,10,0,0
female,0,0,40,75,0,0,98,0,515,90,0,263,0,0,39,0,320
male,0,20,45,30,0,0,0,0,945,0,0,210,85,30,75,0,0
male,0,0,0,15,0,0,0,0,450,0,0,425,0,0,20,0,530
male,0,0,0,56,439,0,0,0,895,0,0,0,0,0,50,0,0
male,0,0,0,90,0,0,90,0,510,0,0,750,0,0,0,0,0
female,167,0,20,22,0,0,40,0,650,0,0,25,0,0,43,0,473
female,0,0,0,40,0,0,35,0,330,0,0,180,0,0,0,0,855
male,15,0,135,90,0,0,210,0,645,0,60,210,0,0,75,0,0
male,0,0,15,45,0,0,6,0,600,0,0,192,20,0,52,0,510
female,0,130,0,0,0,0,54,0,806,0,0,360,0,0,90,0,0
female,0,30,0,140,0,0,395,0,690,0,0,80,0,75,10,0,0
male,0,217,60,135,0,0,101,0,582,0,0,321,0,0,24,0,0
male,0,0,0,60,0,0,105,0,720,0,317,120,30,0,88,0,0
female,0,0,0,80,0,0,610,0,480,0,0,90,0,0,0,0,180
male,70,0,5,45,0,0,80,0,530,0,0,40,60,0,105,0,480
male,55,0,0,60,0,0,135,0,450,0,0,210,0,0,135,0,395
female,305,0,110,30,0,0,75,0,710,0,0,125,0,0,85,0,0
male,0,0,60,190,0,0,0,0,570,0,0,380,0,0,240,0,0
female,100,0,120,70,0,0,60,0,710,0,0,330,0,0,50,0,0
female,0,0,80,0,0,0,125,0,630,0,0,385,0,60,160,0,0
female,0,0,0,80,0,0,160,0,650,75,0,330,0,15,35,0,0
female,0,0,0,60,495,0,0,0,585,0,0,25,0,0,90,50,135
female,120,0,90,25,0,0,200,0,600,0,0,95,0,0,60,0,250
male,0,0,0,0,0,0,5,0,690,0,0,735,0,0,10,0,0
male,0,0,5,10,0,0,30,0,570,0,0,813,0,0,12,0,0
male,90,0,45,180,0,0,55,0,600,0,0,205,0,0,245,0,20
male,0,0,52,78,0,0,194,0,565,0,0,151,0,0,30,0,370
male,0,0,20,140,0,0,0,0,540,0,90,470,90,0,90,0,0
male,0,0,0,95,0,0,0,0,690,0,65,580,0,0,10,0,0
female,0,0,0,50,0,0,210,0,980,0,0,200,0,0,0,0,0
male,0,0,0,10,0,0,25,0,450,0,0,475,0,0,20,0,460
female,0,0,165,55,0,0,125,0,555,0,0,445,0,5,90,0,0
female,0,0,0,75,555,0,0,0,605,0,0,145,0,20,40,0,0
female,62,0,0,15,0,0,65,0,458,0,0,810,0,0,30,0,0
male,0,0,0,90,0,0,0,0,390,0,0,960,0,0,0,0,0
female,40,0,60,90,0,0,210,0,535,0,0,160,0,0,30,0,315
male,0,0,0,0,0,0,486,0,474,0,0,480,0,0,0,0,0
male,0,0,0,120,0,0,63,0,540,0,0,437,0,0,40,0,240
female,100,0,0,45,0,0,230,0,600,0,0,445,0,0,20,0,0
male,0,15,90,45,0,0,70,0,605,0,0,485,0,0,100,0,30
female,0,0,0,120,0,100,180,0,690,0,0,130,0,180,40,0,0
male,0,0,0,30,0,0,0,0,750,0,0,195,0,0,180,0,285
female,0,0,0,40,90,0,0,0,890,0,360,0,0,0,30,0,0
male,0,15,5,50,0,0,45,0,420,0,0,790,0,0,115,0,0
male,0,0,0,30,0,0,0,480,732,0,0,192,0,0,6,0,0
male,0,0,0,80,0,0,60,0,450,0,0,850,0,0,0,0,0
female,0,0,30,30,0,0,0,0,550,0,0,165,0,0,105,0,560
male,0,0,0,60,0,0,215,0,390,0,0,730,45,0,0,0,0
male,0,0,10,20,0,0,33,0,620,0,0,219,0,8,36,0,494
male,21,0,20,65,0,0,300,0,495,0,0,294,60,0,95,0,90
male,16,0,0,115,0,0,15,0,480,0,0,205,0,0,94,0,515
male,0,88,55,137,0,0,186,0,615,0,0,0,0,0,102,0,257
female,287,0,10,45,0,0,50,0,703,0,90,150,0,0,105,0,0
female,0,6,1,0,180,0,60,0,296,0,0,355,0,0,143,0,399
male,0,0,0,90,0,0,20,0,510,0,0,260,0,0,70,0,490
female,0,5,0,23,0,0,110,0,680,0,0,287,0,5,65,0,265
female,0,0,0,100,0,0,15,0,535,0,65,320,0,0,345,60,0
female,0,0,50,15,0,0,30,0,320,0,0,263,0,0,42,0,720
female,0,0,0,10,0,0,100,0,580,0,0,150,0,0,20,0,580
female,0,0,0,105,0,0,180,0,510,0,0,125,0,0,40,0,480
female,0,0,0,0,0,0,0,0,600,0,0,710,120,0,10,0,0
female,0,0,0,12,0,0,4,0,1244,0,0,180,0,0,0,0,0
female,0,0,10,100,0,0,0,0,452,0,0,175,0,0,16,0,687
female,0,0,10,0,0,0,120,0,540,0,0,644,0,0,6,0,0
female,30,0,0,0,0,0,45,0,570,0,0,130,0,0,40,0,625
male,0,0,0,120,0,0,100,0,750,0,0,450,0,0,20,0,0
female,25,0,0,15,0,0,30,0,705,0,0,205,0,15,100,0,345
male,0,0,0,40,0,0,0,0,735,0,0,80,0,0,180,0,405
female,0,0,0,20,0,0,40,0,690,0,120,480,0,60,30,0,0
male,0,0,0,165,0,0,105,0,630,0,0,200,240,0,100,0,0
female,283,0,50,110,0,0,287,0,510,0,0,90,0,0,95,0,0
female,0,0,0,30,0,0,285,0,580,0,0,430,0,0,0,0,10
male,95,0,0,120,0,0,675,0,540,0,0,0,0,0,10,0,0
female,0,0,0,55,0,0,34,0,690,30,0,495,0,0,0,0,0
female,215,0,15,20,0,0,278,0,595,0,0,265,0,0,52,0,0
male,0,0,0,85,0,0,535,0,415,0,0,405,0,0,0,0,0
female,0,0,0,195,0,0,145,0,675,0,0,235,0,120,70,0,0
male,0,0,10,20,0,0,0,0,540,0,0,60,420,0,390,0,0
female,0,0,0,45,0,0,75,0,510,0,0,810,0,0,0,0,0
male,0,0,120,60,0,0,339,0,253,0,0,318,50,0,240,0,60
female,0,0,20,140,0,0,60,0,710,0,200,90,0,0,85,135,0
male,0,0,30,110,100,0,290,0,380,0,105,135,0,0,60,0,230
male,0,45,0,33,0,0,110,0,625,0,0,520,0,0,50,0,10
female,75,0,0,65,0,0,85,0,620,0,135,360,0,0,100,0,0
female,0,0,0,95,0,0,95,0,417,0,10,240,25,5,73,0,480
male,0,0,10,25,0,0,435,0,570,0,60,124,0,120,36,60,0
male,25,0,0,30,0,0,0,0,630,0,0,195,0,0,45,0,515
female,0,0,30,80,0,0,235,0,520,0,0,555,0,0,20,0,0
female,0,5,45,95,0,0,48,0,665,10,0,517,0,0,55,0,0
female,17,0,0,60,595,0,83,0,360,5,0,175,43,0,102,0,0
female,206,0,0,50,0,0,305,0,474,0,0,270,0,0,135,0,0
male,44,0,0,55,0,0,1,0,510,0,0,290,0,0,40,0,500
female,107,180,60,35,0,0,235,0,558,0,0,195,0,0,70,0,0
male,0,0,0,90,0,0,0,0,870,0,0,0,0,0,120,0,360
female,0,0,205,60,0,5,0,0,515,0,0,610,0,20,25,0,0
female,90,0,0,120,0,0,660,0,480,0,0,90,0,0,0,0,0
male,0,0,0,15,0,0,10,0,645,0,0,135,0,0,35,0,600
male,0,0,65,0,0,0,0,0,570,25,0,509,60,0,211,0,0
female,31,0,0,35,0,0,344,0,740,0,0,290,0,0,0,0,0
female,0,0,0,90,0,0,180,0,335,40,0,708,0,12,75,0,0
female,0,0,0,100,180,0,315,0,630,0,0,215,0,0,0,0,0
male,15,0,0,70,0,0,30,0,425,0,0,200,0,0,80,0,620
male,50,0,10,110,0,0,15,0,629,0,0,0,0,0,65,0,561
female,0,0,0,30,0,0,90,0,505,0,0,210,0,0,10,0,595
female,0,0,5,5,0,0,70,1,366,0,0,0,0,0,359,0,634
male,0,4,70,45,0,0,60,0,585,0,0,393,0,0,283,0,0
female,0,0,15,90,0,0,60,0,630,0,0,520,0,90,35,0,0
female,0,0,0,40,0,0,120,0,690,0,110,245,125,0,45,0,0
female,0,0,50,30,0,0,90,0,495,0,0,165,0,30,105,0,475
female,467,0,15,75,0,0,110,0,650,5,0,85,0,0,33,0,0
male,0,0,0,30,0,0,0,0,585,0,0,240,0,0,30,0,555
female,0,90,0,45,0,0,305,0,464,0,0,512,0,10,14,0,0
male,0,0,0,5,430,0,15,0,560,0,0,335,0,0,95,0,0
female,0,0,0,100,0,0,80,0,610,0,0,620,0,30,0,0,0
male,192,0,6,30,0,0,115,0,607,90,60,240,0,0,100,0,0
female,0,1,0,100,382,0,125,0,560,0,0,220,0,0,52,0,0
female,0,0,0,30,0,0,0,0,570,0,75,475,0,0,110,0,180
female,49,0,108,20,0,0,151,0,480,0,0,96,0,0,58,0,478
male,0,0,0,75,0,0,60,0,540,0,240,180,150,0,195,0,0
female,125,0,30,60,0,0,120,0,630,0,0,215,0,60,200,0,0
female,0,0,90,40,440,0,0,0,515,0,0,270,0,0,85,0,0
female,0,0,0,60,0,0,180,0,540,0,0,660,0,0,0,0,0
male,0,0,40,60,0,0,60,0,665,0,0,430,0,0,185,0,0
male,120,0,0,90,0,0,240,0,840,0,0,150,0,0,0,0,0
male,0,0,0,60,255,0,10,0,525,0,0,295,45,0,85,0,0
male,0,0,1,50,60,0,15,0,855,0,0,399,0,0,60,0,0
female,0,0,0,115,0,0,62,0,809,0,120,81,0,0,133,0,0
female,0,0,45,60,0,0,165,0,600,0,0,430,0,0,140,0,0
female,0,0,0,120,0,0,100,0,588,25,0,125,173,0,309,0,0
male,0,0,0,75,0,0,0,0,300,0,0,0,0,0,0,0,1065
female,30,0,0,45,0,0,230,0,900,0,0,235,0,0,0,0,0
male,0,0,0,0,0,0,210,0,360,0,0,870,0,0,0,0,0
male,0,0,0,30,0,0,0,0,605,0,0,390,0,0,55,360,0
female,0,62,0,30,0,0,40,0,570,0,0,528,0,10,90,0,0
female,24,0,80,60,0,0,15,0,420,0,0,146,0,0,110,0,585
female,175,0,0,90,0,0,465,0,530,0,0,140,0,0,40,0,0
female,0,0,0,60,0,0,120,0,615,0,0,635,0,0,10,0,0
female,0,30,90,30,0,0,115,0,465,0,0,155,0,0,14,0,526
male,0,0,45,75,390,0,0,0,545,0,0,130,180,0,75,0,0
male,30,0,0,0,30,0,0,0,240,0,0,120,0,0,165,0,780
female,0,0,0,60,0,0,0,0,480,0,0,395,0,0,40,0,465
female,0,0,0,60,0,0,120,0,600,0,0,630,0,0,30,0,0
female,0,0,60,240,0,0,235,0,655,0,75,65,0,0,110,0,0
female,0,0,180,60,120,0,0,0,720,0,0,330,0,0,30,0,0
female,0,0,0,40,0,0,185,0,600,0,0,0,0,0,20,0,515
male,0,0,0,25,0,0,0,0,280,0,0,195,0,0,85,0,855
female,0,0,0,95,0,0,0,0,790,0,105,375,0,0,75,0,0
female,0,0,0,135,0,0,0,0,510,0,0,210,0,0,95,0,490
female,2,5,5,120,0,0,525,0,540,0,0,153,0,0,90,0,0
female,0,0,5,60,0,0,40,0,545,0,175,280,0,0,48,287,0
female,0,0,180,90,0,0,0,0,810,0,30,180,0,0,30,0,120
female,10,0,0,10,0,0,410,0,930,0,0,60,0,0,20,0,0
male,190,0,0,30,0,0,20,0,500,0,0,120,0,0,100,0,360
male,0,0,0,15,0,0,0,0,635,0,0,433,265,0,92,0,0
male,55,0,0,50,0,0,45,0,355,0,0,285,0,0,110,0,540
female,20,0,10,90,0,0,15,0,690,0,15,450,107,0,43,0,0
female,0,0,60,75,0,0,0,0,514,0,0,90,60,90,41,0,510
female,0,0,0,90,0,0,180,0,690,0,140,330,0,0,10,0,0
female,0,0,0,40,0,0,770,0,510,0,0,120,0,0,0,0,0
male,30,0,5,65,0,0,5,0,450,0,0,15,315,0,70,0,485
female,0,0,0,55,0,0,30,0,1295,0,0,60,0,0,0,0,0
female,0,0,0,0,0,0,0,0,370,0,0,688,0,60,4,0,318
male,0,0,0,15,0,0,0,0,840,0,0,585,0,0,0,0,0
female,0,30,23,15,0,0,106,26,379,5,0,149,0,7,187,43,470
male,25,10,0,160,0,0,150,0,393,0,0,40,325,0,337,0,0
male,0,0,0,150,0,0,90,0,500,0,0,580,30,0,90,0,0
female,65,0,35,50,0,0,95,0,495,0,0,70,0,20,155,0,395
female,45,0,5,30,0,0,125,0,630,0,0,545,0,0,60,0,0
